"","target","N_Day","mes","year","nivel","tmed","pDia","niv7","niv14","niv30","niv60","niv90","niv180","t7","t14","t30","t60","t90","t180","p30","p60","p90","p180","niv010","niv020","niv030"
"294",-10.7,29313,4,1980,620.54,12.5,0,620.54,620.676,621.193225806452,622.191803278689,623.119120879121,625.431160220994,11.046875,8.225,7.16129032258065,6.77254098360656,5.65796703296703,6.68895027458564,33.7,61.4,87.4,274.7,-0.0220000000000027,-0.0475000000000023,-0.0560000000000021
"302",-11.2,29321,4,1980,620.5,3.25,0,620.546275,620.53868,620.82355483871,621.751150819672,622.659672527472,625.228509392265,5.38896275,8.3074468,6.80602264516129,6.59609347540984,5.88034837362637,6.28072763370166,29.2,60.4,84.4,176.7,0,-0.0199999999999989,-0.0379999999999995
"309",-12.3,29328,4,1980,623.24,6.875,3.5,621.13,620.86068,620.779361290323,621.494101639344,622.35198021978,624.95281878453,5.953125,5.8324468,7.01570006451613,6.62888036065574,6.21688683516483,6.08183260607735,95.9,124.6,152.6,218.4,0.269979999999998,0.135500000000002,0.0709999999999999
"316",-12.9,29335,4,1980,625.22,6.25,0,624.4175,622.742666666667,621.611941935484,621.677872131148,622.34198021978,624.763647513812,7.6875,6.81666666666667,7.63666780645161,6.77847052459016,6.60699672527473,5.90089337955801,68.2,111.4,129.6,202.2,0.480000000000007,0.231999999999999,0.152666666666668
"330",-13.4,29349,5,1980,626.83,13.25,0,626.33875,625.975333333333,624.083870967742,622.526232786885,622.630002197802,624.539780110497,10.453125,8.98333333333333,7.79838709677419,7.45265085245902,7.05479892307692,5.92686023038674,153.5,182.7,214.9,264.7,0.115000000000009,0.154500000000002,0.210000000000002
"337",-13.9,29356,5,1980,628.27,8.25,0,627.41,626.877333333333,625.667741935484,623.206232786885,622.930661538462,624.503260773481,10.3125,10.1916666666667,8.83064516129032,7.88092954098361,7.35287584615385,6.10835194475138,127,210.4,239.1,286.1,0.192999999999995,0.146499999999997,0.239999999999998
"344",-13.9,29363,5,1980,628.5,9.25,9.5,628.3925,627.876666666667,626.803870967742,624.051478688525,623.337584615385,624.506575690608,9.3125,9.91666666666667,9.15725806451613,8.36453609836066,7.58089782417582,6.30241271823204,134.5,202.7,253.4,306.1,0.120000000000005,0.120999999999998,0.120000000000001
"351",-13.9,29370,5,1980,628.47,8.125,5.7,628.4425,628.412,627.508387096774,624.948527868852,623.780661538462,624.517238674033,10.625,10.0166666666667,9.94354838709677,8.73748691803279,7.92430441758242,6.4647055359116,134,220.6,254.3,324,0.00900000000000318,0.075,0.0893333333333355
"365",-12.9,29384,6,1980,628.61,14.75,0,628.66875,628.638,628.480967741936,626.81262295082,624.806046153846,624.592211049724,14.34375,13.4666666666667,11.6693548387097,10.2151639344262,9.04793079120879,6.88597625414365,132,285.5,314.7,388.9,-0.00399999999999636,0.00950000000000273,0.0366666666666674
"372",-12.1,29391,6,1980,628.54,15.75,0,628.57375,628.622,628.567419354839,627.542786885246,625.373518681319,624.651106077348,16.484375,15.4583333333333,13.4677419354839,11.3155737704918,9.93804068131868,7.35766133701657,92.3,217.3,297.2,388.9,-0.0150000000000091,-0.000999999999999091,0.00299999999999727
"379",-12.1,29398,6,1980,628.66,14.5,1,628.6,628.59,628.599032258065,627.956229508197,625.980881318681,624.729172375691,15.609375,16.0666666666667,14.5,12.1905737704918,10.7251285934066,7.90600387845304,129.1,263.1,333.5,420.9,0.00899999999999181,-0.000499999999999545,0.00899999999999939
"386",-11.6,29405,7,1980,628.64,14.75,0,628.75625,628.679333333333,628.652258064516,628.288196721311,626.614727472527,624.830940331492,14.359375,15.0166666666667,15.3306451612903,12.9815573770492,10.9201835384615,8.35213647513812,112.9,242.7,333.5,420.9,0.00699999999999363,0.00199999999999818,0.000999999999999091
"393",-11.2,29412,7,1980,628.2,13.875,3,628.4,628.574,628.579677419355,628.485081967213,627.216483516484,624.93558121547,16.046875,15.2333333333333,15.4838709677419,13.4918032786885,11.7898351648352,8.87009227624309,58.7,183,336.5,420.9,-0.067999999999995,-0.0169999999999959,-0.0123333333333335
"400",-10.8,29419,7,1980,627.71,11.25,4.5,627.93875,628.167333333333,628.424838709677,628.489836065574,627.73043956044,625.041603314917,14.25,15.2333333333333,15.2620967741935,14.0901639344262,12.4024725274725,9.35558951381215,91.2,194,308.5,461.1,-0.0649999999999977,-0.0504999999999995,-0.0283333333333303
"407",-9.5,29426,7,1980,627.09,19.875,0,627.415,627.674666666667,628.159032258064,628.36606557377,627.944835164835,625.147570165746,16.765625,15.7916666666667,15.5564516129032,14.9344262295082,13.1524725274725,9.89426354696133,48.2,174,308.5,438.1,-0.0789999999999964,-0.0724999999999966,-0.0536666666666671
"414",-8.5,29433,7,1980,626.36,18.5,0,626.73125,627.072,627.69064516129,628.160491803279,628.022527472527,625.240056353591,19.046875,17.775,16.5120967741935,15.9549180327869,14.0398351648352,10.4122193480663,43.2,156.1,290.1,438.1,-0.101999999999998,-0.0879999999999996,-0.0813333333333314
"449",-4.6,29468,9,1980,622.86,18.5,0,623.2625,623.627333333333,624.353225806452,625.812131147541,626.745824175824,625.52828839779,16.875,16.5416666666667,18.6370967741935,18.0102459016393,17.0673076923077,12.8479928287293,35,78.2,191.1,440.9,-0.108000000000004,-0.0930000000000007,-0.0993333333333339
